Categoria;Sigla;Descricao;Tipo de Ativo 
M;ANB X SB1;SWAP - TAXA ANBID VERSUS CARTEIRA DE ACOES;SAB 
M;ANB X SEL;SWAP - TAXA ANBID VERSUS TAXA SELIC;SAS 
M;BRL MOEDA;MOEDA;BRL 
M;CEPAC;CERTIFICADOS DE POTENCIAL ADICIONAL DE CONSTRUCAO;CPA 
M;CSA;CARTEIRA SELECIONADA DE ACOES;CSA 
M;DI COM AJU;CONTRATO A TERMO DE DI COM AJUSTE;ADI 
M;DI X IGPM;CONTRATO A TERMO DE CUPOM DI VERSUS IGPM;DMA 
M;DI1 X ANB;SWAP - TAXA DI DE UM DIA VERSUS TAXA ANBID;SDA 
M;DI1 X DOL;SWAP - TAXA DI DE UM DIA VERSUS DOLAR COMERCIAL;SDC 
M;DI1 X IAP;SWAP - TAXA DI DE UM DIA VERSUS IPCA/IBGE;SDL 
M;DI1 X IGD;SWAP - TAXA DI DE UM DIA VERSUS IGP-DI;SDI 
M;DI1 X IGM;SWAP - TAXA DI DE UM DIA VERSUS IGP-M;SDM 
M;DI1 X IND;SWAP - TAXA DI DE UM DIA VERSUS INDICE BOVESPA;SDN 
M;DI1 X INP;SWAP - TAXA DI DE UM DIA VERSUS INPC/IBGE;SDX 
M;DI1 X JPY;SWAP - TAXA DI DE UM DIA VERSUS IENE;SDY 
M;DI1 X OZ1;SWAP - TAXA DI DE UM DIA VERSUS OURO;SDO 
M;DI1 X PRE;SWAP - TAXA DI DE UM DIA VERSUS TAXA PREFIXADA;SDP 
M;DI1 X REU;SWAP - TAXA DI DE UM DIA VERSUS EURO;SDE 
M;DI1 X SEL;SWAP - TAXA DI DE UM DIA VERSUS TAXA SELIC;SDS 
M;DI1 X TBF;SWAP - TAXA DI DE UM DIA VERSUS - TBF;SDB 
M;DI1 X TJL;SWAP - TAXA DI DE UM DIA VERSUS TJLP;SDJ 
M;DI1 X TR;SWAP - TAXA DI DE UM DIA VERSUS TR;SDT 
M;DOF X PRE;SWAP - DOLAR FLUTUANTE VERSUS PREFIXADA;SFP 
M;DOF X SB1;SWAP - DOLAR FLUTUANTE VERSUS CARTEIRA DE ACOES 1;SFB 
M;DOF X TR;SWAP - DOLAR FLUTUANTE VERSUS TR;STF 
M;DOL X ANB;SWAP - DOLAR COMERCIAL VERSUS TAXA ANBID;SCA 
M;DOL X IAP;SWAP - DOLAR COMERCIAL VERSUS IPCA/IBGE;SCL 
M;DOL X IGD;SWAP - DOLAR COMERCIAL VERSUS IGP-DI;SCI 
M;DOL X IGM;SWAP - DOLAR COMERCIAL VERSUS IGP-M;MCS 
M;DOL X IND;SWAP - DOLAR COMERCIAL VERSUS INDICE BOVESPA;NCS 
M;DOL X INP;SWAP - DOLAR COMERCIAL VERSUS INPC/IBGE;XCS 
M;DOL X JPY;SWAP - DOLAR COMERCIAL VERSUS IENE;SCY 
M;DOL X OZ1;SWAP - DOLAR COMERCIAL VERSUS OURO;SCO 
M;DOL X PRE;SWAP - DOLAR COMERCIAL VERSUS TAXA PREFIXADA;SCP 
M;DOL X REU;SWAP - DOLAR COMERCIAL VERSUS EURO;SCE 
M;DOL X SB1;SWAP - DOLAR COMERCIAL VERSUS CARTEIRA DE ACOES;SCB 
M;DOL X TJL;SWAP - DOLAR COMERCIAL VERSUS TJLP;JCS 
M;DOL X TR;SWAP - DOLAR COMERCIAL VERSUS TR;SCT 
M;ENE;CONTRATO PADRAO DE ENERGIA ELETRICA NORDESTE DE 0,5 MW;ENE 
M;ENO;CONTRATO PADRAO DE ENERGIA ELETRICA NORTE DE 0,5 MW;ENO 
M;ESC;CONTRATO PADRAO ENERGIA ELETRICA SUDESTE/CENTRO-OESTE 0,5 MW;ESC 
M;ESU;CONTRATO PADRAO DE ENERGIA ELETRICA SUL DE 0,5 MW;ESU 
M;FGV1 X DI1;SWAP - FGV100 VERSUS TAXA DI DE UM DIA;SDV 
M;FGV1 X DOF;SWAP - FGV100 VERSUS DOLAR FLUTUANTE;SFV 
M;FGV1 X DOL;SWAP - FGV100 VERSUS DOLAR COMERCIAL;SGD 
M;FGV1 X IGP;SWAP - FGV100 VERSUS INDICE DE PRECO;SGV 
M;FGV1 X IND;SWAP - FGV100 VERSUS IBOVESPA;SNV 
M;FGV1 X OZ1;SWAP - FGV100 VERSUS OURO;SVO 
M;FGV1 X PRE;SWAP FGV100 VERSUS TAXA PREFIXADA;SVP 
M;FGV1 X SB1;SWAP - FGV100 VERSUS SB1;SVB 
M;FGV1 X SEL;SWAP - FGV100 VERSUS TAXA SELIC;SVS 
M;FGV1 X TBF;SWAP - FGV100 VERSUS TBF;SBV 
M;FGV1 X TJL;SWAP - FGV100 VERSUS TJLP;SJV 
M;FGV1 X TR;SWAP - FGV100 VERSUS TR;STV 
M;IAP X JPY;SWAP – IPCA/IBGE VERSUS IENE;SLY 
M;IAP X PRE;SWAP – IPCA/IBGE VERSUS TAXA PREFIXADA;SLP 
M;IAP X REU;SWAP – IPCA/IBGE VERSUS EURO;SLE 
M;IAP X SB1;SWAP – IPCA/IBGE VERSUS CARTEIRA DE ACOES;SLB 
M;IBR X ANB;SWAP – INDICE BRASIL VERSUS TAXA ANBID;SAR 
M;IBR X DI1;SWAP – INDICE BRASIL VERSUS TAXA DI DE UM DIA;SDR 
M;IBR X DOL;SWAP – INDICE BRASIL VERSUS DOLAR COMERCIAL;SCR 
M;IBR X IAP;SWAP – INDICE BRASIL VERSUS IPCA/IBGE;SLR 
M;IBR X IGD;SWAP – INDICE BRASIL VERSUS IGP-DI;SIR 
M;IBR X IGM;SWAP – INDICE BRASIL VERSUS IGP-M;SMR 
M;IBR X IND;SWAP – INDICE BRASIL VERSUS INDICE BOVESPA;SNR 
M;IBR X INP;SWAP – INDICE BRASIL VERSUS INPC/IBGE;SXR 
M;IBR X IPC;SWAP – INDICE BRASIL VERSUS IPC/FIPE;SFR 
M;IBR X JPY;SWAP – INDICE BRASIL VERSUS IENE;SYR 
M;IBR X OZ1;SWAP – INDICE BRASIL VERSUS OURO;SOR 
M;IBR X PRE;SWAP – INDICE BRASIL VERSUS TAXA PREFIXADA;SRP 
M;IBR X REU;SWAP – INDICE BRASIL VERSUS EURO;SER 
M;IBR X SB1;SWAP – INDICE BRASIL VERSUS CARTEIRA DE ACOES;SRB 
M;IBR X SEL;SWAP – INDICE BRASIL VERSUS TAXA SELIC;SSR 
M;IBR X TBF;SWAP – INDICE BRASIL VERSUS TBF;SBR 
M;IBR X TJL;SWAP – INDICE BRASIL VERSUS TJLP;SJR 
M;IBR X TR;SWAP – INDICE BRASIL VERSUS TR;STR 
M;IGD X IAP;SWAP - IGP-DI VERSUS IPCA/IBGE;SIL 
M;IGD X INP;SWAP - IGP-DI VERSUS INPC/IBGE;SIX 
M;IGD X IPC;SWAP - IGP-DI VERSUS IPC/FIPE VERSUS;SIF 
M;IGD X JPY;SWAP - IGP-DI VERSUS IENE;SIY 
M;IGD X OZ1;SWAP - IGP-DI VERSUS OURO;SIO 
M;IGD X PRE;SWAP - IGP-DI VERSUS TAXA PREFIXADA;SIP 
M;IGD X SB1;SWAP - IGP-DI VERSUS CARTEIRA DE ACOES;SIB 
