#CNPJ;NAME;CVMCODE;STATUS_DATE;STATUS
32.477.002/0001-62;AGROCUNHA SA;507806;2012-02-14;CANCELED
23.461.411/0001-80;AGROIND BAQUIT SA;512664;2012-02-14;CANCELED
23.461.411/0001-80;AGROIND BAQUIT SA;520420;2016-07-05;CANCELED
04.792.719/0001-63;AGROINDL BAMA SA;511366;1993-01-21;CANCELED
63.791.461/0001-40;AGROINDL BARÃO DO MELGAÇO SA;516317;2008-09-28;CANCELED
08.987.190/0001-94;AGROINDL BARRO BRANCO SA;505749;2008-09-28;CANCELED
10.775.997/0001-05;AGROINDL CAIANA SA;501085;2012-02-14;CANCELED
15.950.058/0001-73;AGROINDL ESTRELA SA;510530;2012-02-14;CANCELED
08.983.322/0001-00;AGROINDL IRMAOS ALMEIDA SA;503614;2012-02-14;CANCELED
05.594.288/0001-93;AGROINDL LUIZ GUIMARAES SA;511820;2012-02-14;CANCELED
04.183.513/0001-36;AGROINDL MANACAPURU SA;513261;2012-02-14;CANCELED
24.272.999/0001-96;AGROINDL R. FUNDO SA-AGRISA;509892;2008-09-28;CANCELED
05.220.132/0001-42;AGROINDL SA AGROISA;510564;2006-02-14;CANCELED
03.164.753/0001-20;AGROINDL SAO PAULO SA;505226;2010-10-12;CANCELED
24.422.719/0001-89;AGROINDL SERRA DAS VARAS SA;513997;2012-02-14;CANCELED
12.627.758/0001-33;AGROINDL STA LUZIA SA;511927;2012-02-14;CANCELED
04.071.676/0001-27;AGROINDL SUINORTE SA;511153;1991-04-19;CANCELED
12.765.541/0001-90;AGROINDL TRAVESSIA SA;507903;2012-02-14;CANCELED
00.922.144/0001-03;AGROINDUSTRIAL DE CEREAIS DONA CAROLINA S/A;518085;2012-02-14;CANCELED
00.082.253/0001-51;AGROINDUSTRIAL DE CEREAIS VERDES CAMPOS S.A.;519715;2013-12-18;ACTIVE
02.855.176/0001-50;AGROINDUSTRIAL E PASTORIL NATIVA S.A.;519847;2018-04-12;CANCELED
15.282.791/0001-67;AGROINDUSTRIAL PALMASA S/A;511277;2012-02-14;CANCELED
15.282.791/0001-67;AGROINDUSTRIAL PALMASA S/A;519472;2013-02-01;CANCELED
02.680.715/0001-68;AGROINDUSTRIAL SAPUCAIA S/A;518859;2015-03-09;CANCELED
06.846.992/0001-59;AGROINDUSTRIAL SERRA VERMELHA S/A;504190;2012-02-14;CANCELED
06.846.992/0001-59;AGROINDUSTRIAL SERRA VERMELHA S/A;520306;2016-02-17;CANCELED
22.949.390/0001-83;AGROINDUSTRIAL UNIDOS S/A;512770;2011-01-11;CANCELED
04.986.188/0001-40;AGROINDUSTRIAL VERA CRUZ S/A;511404;1990-10-04;ACTIVE
06.403.174/0001-81;AGROISA-AGROINDL CAMPO NOVO SA;501581;2012-02-14;CANCELED
12.313.151/0001-89;AGROJAISA AGROPEC JATAHY INDL;514500;2011-09-14;CANCELED
22.957.963/0001-10;AGROLANDIA ACAILANDIA IND SA;501395;2012-02-14;CANCELED
07.481.559/0001-20;AGROLUPE-AGROPEC GUADALUPE SA;501786;2012-02-14;CANCELED
05.753.116/0001-15;AGROLUSA-AGROINDL LUSITANA SA;500496;1997-03-05;CANCELED
06.272.470/0001-90;AGROMA EMPREEND RURAIS SA;506036;2012-02-14;CANCELED
06.777.965/0001-71;AGROMALTA AGROP MARANHENSE SA;503681;2011-09-30;CANCELED
01.355.296/0001-26;AGROMON SA AGRICULTURA E PEC;509329;2012-02-14;CANCELED
06.040.547/0001-05;AGROMOSA AGROP M F OLIVEIRA SA;503800;2012-02-14;CANCELED
07.025.125/0001-15;AGROMUNDO AGROPEC RAIM VIA SA;505846;2008-09-28;CANCELED
00.319.137/0001-03;AGRON AGROINDL SA;507164;2012-02-14;CANCELED
