#SYMBOL;DESCRIPTION;ISIN;CURRENCY_BASE;CONTRACT_SIZE;TICK_SIZE;TICK_VALUE;DIGITS;MIN_VOLUME;MAX_VOLUME;STEP_VOLUME;START_TIME;EXPIRATION_TIME;OPTION_MODE;OPTION_RIGHT;OPTION_STRIKE
ABEVB82;ABEVE       ON   22,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVB9;ABEVE       ON   19,36;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.02.15 20:59:59;0;0;0.00000000
ABEVC16;ABEV        ON   15,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC21;ABEV        ON   21,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC22;ABEV        ON   22,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC43;ABEV        ON   13,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC47;ABEV        ON   17,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC49;ABEV        ON   19,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC52;ABEV        ON   22,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC56;ABEVE       ON   15,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC70;ABEVE       ON   20,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC77;ABEVE       ON   17,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC78;ABEVE       ON   18,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC80;ABEVE       ON   20,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.03.21 20:59:59;0;0;0.00000000
ABEVC86;ABEV        ON   26,27;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.03.20 20:59:59;0;0;0.00000000
ABEVC87;ABEV        ON   26,77;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.03.20 20:59:59;0;0;0.00000000
ABEVC89;ABEV        ON   18,77;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.03.20 20:59:59;0;0;0.00000000
ABEVC99;ABEV        ON   19,27;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.03.20 20:59:59;0;0;0.00000000
ABEVD16;ABEV        ON   15,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD19;ABEVE       ON   18,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD20;ABEV        ON   19,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD23;ABEVE       ON   22,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD24;ABEVE       ON   23,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD44;ABEVE       ON   14,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD48;ABEV        ON   18,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD49;ABEV        ON   19,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD50;ABEV        ON   20,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD81;ABEV        ON   17,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD82;ABEVE       ON   21,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD83;ABEV        ON   22,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD89;ABEV        ON   22,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD91;ABEV        ON   21,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD92;ABEVE       ON   21,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD93;ABEVE       ON   20,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD94;ABEVE       ON   17,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD95;ABEVE       ON   17,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD96;ABEVE       ON   16,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD97;ABEVE       ON   16,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD98;ABEVE       ON   15,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVD99;ABEVE       ON   15,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.04.18 20:59:59;0;0;0.00000000
ABEVE24;ABEV        ON   23,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE51;ABEVE       ON   21,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE6;ABEV        ON   15,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE60;ABEVE       ON   20,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE61;ABEVE       ON   20,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE62;ABEVE       ON   21,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE63;ABEVE       ON   22,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE69;ABEVE       ON   18,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE79;ABEV        ON   19,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE89;ABEVE       ON   19,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE90;ABEVE       ON   14,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE91;ABEV        ON   15,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE92;ABEVE       ON   15,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE93;ABEV        ON   17,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE95;ABEV        ON   18,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE96;ABEV        ON   18,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE97;ABEVE       ON   22,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE98;ABEVE       ON   23,44;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVE99;ABEVE       ON   23,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.05.16 20:59:59;0;0;0.00000000
ABEVF53;ABEV        ON   16,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF54;ABEVE       ON   16,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF55;ABEV        ON   17,19;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF56;ABEVE       ON   22,94;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF61;ABEVE       ON   31,60;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2017.06.19 20:59:59;0;0;0.00000000
ABEVF64;ABEV        ON   14,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
ABEVF68;ABEV        ON   17,69;BRABEVACNOR1;BRL;1;0.01;0.01;2;100;1571761542;100;1970.01.01 00:00:00;2016.06.20 20:59:59;0;0;0.00000000
